a_x,a_y,a_z,g_x,g_y,g_z
-0.036,2.085,-0.266,-325.683,-492.675,-100.036
0.449,0.345,-0.118,-638.122,-1399.291,260.559
0.045,1.059,-1.502,260.07,548.4,-185.729
0.015,0.57,-0.704,-179.626,-579.04,213.073
0.045,0.851,-0.025,14.77,674.56,-268.92
0.283,1.027,0.005,116.516,-335.144,-59.02
0.198,1.189,-0.108,99.853,-97.229,46.142
0.202,1.098,-0.028,7.141,270.629,-79.65
0.245,1.029,-0.034,3.051,-116.455,-19.348
0.206,0.871,-0.022,-31.372,-141.784,96.435
0.165,0.806,-0.021,-43.151,160.034,26.489
0.178,0.908,-0.02,-27.954,20.507,37.475
0.078,0.975,-0.068,-7.263,-6.591,7.812
0.078,1.005,-0.088,-2.929,0.427,3.295
0.046,0.965,-0.066,-3.723,3.051,5.676
0.106,0.679,-0.098,-7.324,-209.289,-118.103
0.071,-0.129,-0.086,-15.075,251.77,111.755
0.248,0.564,0.04,-61.706,843.872,-94.055
-0.086,0.542,-0.175,-253.662,-1101.806,-564.697
1.02,3.999,-0.368,895.812,-36.315,53.649
-0.276,2.008,-0.217,-41.503,-776.428,287.414
0.018,1.71,-0.317,-68.664,882.873,-8.789
-0.246,0.58,0.099,-178.222,40.344,29.174
0.092,0.879,-0.116,-134.399,5.554,-201.538
0.222,0.602,0.052,195.251,25.634,-65.246
0.057,0.898,-0.004,59.02,-333.312,31.555
0.097,1.051,-0.004,163.818,54.016,-69.396
0.256,1.249,0.009,135.925,28.259,-109.313
0.27,1.343,-0.055,83.374,-139.404,-37.048
0.218,1.103,-0.021,18.615,-69.03,26.55
0.177,0.833,0.019,-27.526,58.166,9.582
0.199,0.713,0.034,-28.259,78.002,13.366
0.225,0.957,-0.073,-10.864,9.338,1.708
0.22,0.959,-0.024,-16.906,5.737,0.671
0.178,0.935,-0.24,32.531,-57.373,-30.151
0.087,0.035,-0.005,285.034,1162.353,203.796
-0.131,0.249,0.163,1065.918,-623.84,107.727
0.95,1.566,0.631,57.617,337.463,-7.751
0.018,0.685,0.193,-179.992,374.328,-311.157
0.441,0.633,0.076,-51.574,759.094,-119.079
0.455,1.309,-0.104,-334.167,-42.724,-104.797
0.485,0.725,0.005,-168.09,424.621,-100.463
0.328,0.819,-0.103,-100.585,-184.387,4.333
0.425,0.971,-0.167,32.043,55.847,-51.574
0.5,0.894,-0.071,89.965,87.646,-13.488
0.451,0.943,-0.045,79.406,44.067,27.954
0.459,0.939,-0.023,56.274,132.141,36.193
0.398,0.894,-0.021,8.056,12.512,39.855
0.366,0.864,-0.028,-17.395,20.507,-7.629
0.35,0.863,-0.045,-31.249,-71.899,-33.508
0.38,0.901,-0.069,-35.4,-54.26,-60.607
0.415,0.92,-0.083,-37.109,-69.763,-45.776
-0.024,0.962,-0.227,0.427,4.272,-0.61
0.011,0.964,-0.229,2.014,-2.441,-1.708
-0.018,0.923,-0.229,-1.037,10.925,2.197
-0.015,0.932,0.675,123.84,1999.938,192.687
-0.03,1.889,-1.442,61.035,1124.633,-22.705
0.136,0.763,-0.551,271.301,1117.492,56.03
